linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB17,C00691931,SB17.51451,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-12,100.0,,X,,2024
SB17,C00691931,SB17.51450,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-12,100.0,,X,,2024
SB17,C00691931,SB17.51335,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-09-10,84.79,,X,,2024
SB17,C00691931,SB17.51431,ORG,Pizza Hut,,,,,,1396 Dual Highway,,Hagerstown,MD,21742,,2024-06-22,69.92,,X,,2024
SB17,C00691931,SB17.51424,ORG,Pizza Hut,,,,,,1396 Dual Highway,,Hagerstown,MD,21742,,2024-06-22,63.56,,X,,2024
SB17,C00691931,SB17.51369,ORG,COMPUTER STORE,,,,,,34 WEST 14TH ST FRNT 1,,NEW YORK,NY,10011,,2024-08-07,60.0,,X,,2024
SB17,C00691931,SB17.51368,ORG,COMPUTER STORE,,,,,,34 WEST 14TH ST FRNT 1,,NEW YORK,NY,10011,,2024-07-08,60.0,,X,,2024
SB17,C00691931,SB17.51370,ORG,COMPUTER STORE,,,,,,34 WEST 14TH ST FRNT 1,,NEW YORK,NY,10011,,2024-09-07,60.0,,X,,2024
SB17,C00691931,SB17.51465,ORG,Sam's Club,,,,,,1700 Wesel Blvd.,,Hagerstown,MD,21740,,2024-07-12,56.48,Parade Supplies,,,2024
SB17,C00691931,SB17.51429,ORG,Pizza Hut,,,,,,1396 Dual Highway,,Hagerstown,MD,21742,,2024-06-24,55.08,,X,,2024
SB17,C00691931,SB17.51427,ORG,Pizza Hut,,,,,,1396 Dual Highway,,Hagerstown,MD,21742,,2024-06-23,51.65,,X,,2024
